0	1000010
1	1000250
2	1000438
3	1000476
4	1000528
5	1000550
6	1000574
7	1000624
8	1000710
9	1000720
10	1000812
11	1000888
12	1001026
13	1001214
14	1001266
15	1001294
16	1001304
17	1001410
18	1001438
19	1001496
20	1001736
21	1001842
22	1001860
23	1001872
24	1001908
25	1001946
26	1002030
27	1002324
28	1002336
29	1002342
30	1002392
31	1002594
32	1002676
33	1002956
34	1003118
35	1003122
36	1003878
37	1004034
38	1004134
39	1004232
40	1004878
41	1004964
42	1005182
43	1005292
44	1005508
45	1005614
46	1005694
47	1005868
48	1006314
49	1006520
50	1006562
51	1006626
52	1006638
53	1006894
54	1007240
55	1007244
56	1007250
57	1007632
58	1007674
59	1007720
60	1008166
61	1008246
62	1008300
63	1008516
64	1008614
65	1008682
66	1008976
67	1009000
68	1009024
69	1009096
70	1009226
71	1009254
72	1009294
73	1009452
74	1010002
75	1010522
76	1010580
77	1010586
78	1010620
79	1010630
80	1010738
81	1011002
82	1011058
83	1011550
84	1011712
85	1011776
86	1012096
87	1012424
88	1012958
89	1013008
90	1013134
91	1013310
92	1013608
93	1013654
94	1013676
95	1013900
96	1013914
97	1014042
98	1014182
99	1014340
100	1014442
101	1014526
102	1014776
103	1014958
104	1015080
105	1015110
106	1015262
107	1015308
108	1015492
109	1015536
110	1015970
111	1016050
112	1016110
113	1016388
114	1016572
115	1016734
116	1016856
117	1016996
118	1017096
119	1017116
120	1017180
121	1017568
122	1017756
123	1017996
124	1018380
125	101864
126	101866
127	1018912
128	1018986
129	1019008
130	1019128
131	1019276
132	101962
133	1019762
134	1019912
135	1019980
136	1020162
137	1020336
138	1020416
139	1020676
140	1020866
141	1020950
142	102132
143	1021410
144	1021738
145	1021834
146	1022012
147	1022260
148	1022354
149	1022582
150	1022794
151	1022822
152	1022836
153	1022928
154	1022932
155	1023062
156	1023068
157	1023142
158	1023196
159	1023200
160	1023432
161	1023872
162	1023902
163	1023976
164	1024722
165	1024734
166	1024832
167	1024844
168	1024854
169	1024888
170	1025026
171	1025206
172	1025564
173	1025702
174	1025822
175	1026214
176	1026356
177	1026518
178	1026604
179	1026688
180	1027080
181	1027180
182	1027246
183	1027276
184	1027342
185	1027662
186	1027802
187	1027812
188	1028374
189	1028776
190	1028792
191	1028952
192	1029288
193	1029442
194	1029592
195	1029638
196	1029864
197	1030206
198	1030420
199	1030440
200	1030682
201	1030774
202	1030850
203	1031292
